subject,questiontype,day_kit,day_bat,day_bed,day_off,day_liv,night_bat,night_bed,night_liv,night_kit,night_off,new_kit,new_bat,new_bed,new_off,new_liv
1,complexity,3,1,2,1,1,4,1,2,1,3,1,3,2,1,2
2,complexity,4,2,2,3,2,4,3,3,2,2,2,2,1,2,2
3,complexity,1,2,2,4,1,2,1,2,3,2,2,2,2,1,4
4,complexity,2,2,2,4,2,4,2,2,3,5,4,3,4,4,4
5,complexity,3,4,2,2,1,3,2,4,2,4,2,3,3,3,3
7,complexity,4,2,2,2,3,2,2,1,2,4,2,3,2,5,2
8,complexity,2,4,1,4,1,4,2,1,2,5,2,2,2,4,3
9,complexity,2,2,1,4,3,4,2,2,2,5,4,4,3,5,4
10,complexity,3,1,1,1,1,3,1,2,2,3,1,3,3,3,2
11,complexity,1,1,1,2,1,1,1,1,1,4,1,1,1,1,1
12,complexity,2,2,2,2,3,4,3,1,2,5,4,2,4,3,3
13,complexity,1,1,1,1,1,5,1,1,5,1,5,1,1,5,5
14,complexity,4,2,3,4,2,3,2,2,4,4,4,2,3,3,3
15,complexity,2,2,1,4,2,4,2,1,2,4,2,2,3,5,2
16,complexity,4,2,1,2,4,4,2,3,2,2,2,3,2,4,2
1,interest,4,2,2,1,2,4,3,5,1,4,2,4,3,4,3
2,interest,4,4,3,3,4,5,4,4,3,4,2,4,5,4,4
3,interest,2,4,4,4,3,4,4,3,2,2,4,4,2,2,5
4,interest,2,2,2,4,3,3,3,3,2,4,3,4,3,4,4
5,interest,1,3,3,3,3,3,4,2,3,4,3,4,3,2,1
7,attention,4,2,2,2,2,2,3,2,2,4,2,4,2,4,4
8,attention,4,4,3,2,2,4,4,2,2,5,2,2,2,2,3
9,attention,2,3,2,5,4,4,2,4,1,4,3,5,4,5,5
10,attention,3,3,2,3,2,4,3,3,4,4,1,4,4,2,3
11,attention,2,3,2,3,1,1,2,3,4,4,2,4,2,2,3
12,attention,2,4,2,2,4,4,2,4,2,5,4,3,4,4,2
13,attention,1,1,1,1,1,5,1,1,5,5,1,1,1,5,1
14,attention,2,2,2,4,3,4,2,2,4,4,4,3,3,2,3
15,attention,2,2,2,4,2,2,2,2,2,5,2,2,4,4,3
16,attention,4,2,2,2,4,4,3,4,2,4,2,4,2,5,2
1,positive,1,4,4,4,3,3,3,1,2,3,3,3,2,4,2
2,positive,2,3,4,2,4,2,4,2,2,5,3,4,4,4,4
3,positive,4,4,4,2,4,2,4,3,4,2,4,4,4,3,2
4,positive,3,2,3,4,3,2,4,2,3,3,2,4,3,2,4
5,positive,1,1,4,3,5,1,5,2,3,1,2,4,2,1,2
7,positive,3,4,4,2,4,2,4,1,2,2,4,2,2,3,4
8,positive,2,2,4,4,4,2,3,3,2,2,4,4,3,4,4
9,positive,4,4,4,4,3,3,2,3,2,3,3,5,4,2,4
10,positive,1,3,3,1,1,1,1,1,1,1,3,3,1,1,1
11,positive,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3
12,positive,3,4,4,4,5,2,3,2,4,2,3,4,4,2,4
13,positive,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,positive,2,3,2,2,3,2,3,3,2,3,2,3,2,2,3
15,positive,3,3,3,3,4,2,2,2,3,3,3,4,3,2,4
16,positive,2,4,4,4,3,2,2,2,3,4,3,3,4,2,4
1,negative,1,1,2,1,1,2,1,4,1,2,1,1,1,1,2
2,negative,4,2,2,3,2,4,2,4,4,1,2,2,1,2,2
3,negative,2,2,2,2,2,2,3,2,3,1,2,2,2,2,2
4,negative,2,2,2,1,2,2,1,3,2,2,3,1,2,2,1
5,negative,5,4,2,2,1,5,1,5,2,5,5,2,2,5,3
7,negative,3,2,2,2,1,2,2,1,2,2,2,2,2,2,2
8,negative,2,2,2,2,1,4,2,2,4,2,2,2,2,1,2
9,negative,1,2,1,2,3,2,3,4,3,2,2,2,1,4,2
10,negative,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,negative,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1
12,negative,3,2,2,1,1,4,3,4,1,2,2,1,2,2,1
13,negative,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,negative,2,2,2,3,2,3,3,3,3,2,4,2,3,3,2
15,negative,2,2,1,3,2,2,2,2,2,2,2,1,2,2,2
16,negative,2,2,1,2,2,2,2,3,2,2,2,2,2,3,1
1,arouse,1,2,1,1,1,2,4,2,2,2,1,1,1,2,2
2,arouse,2,2,4,2,4,2,4,2,2,5,2,4,4,4,4
3,arouse,1,3,2,2,2,1,4,4,2,2,3,1,2,2,3
4,arouse,2,2,2,4,2,2,2,3,2,3,2,2,2,2,3
5,arouse,4,4,2,2,3,4,2,1,4,4,4,3,4,4,4
7,arouse,2,2,2,2,2,3,1,1,2,3,2,2,2,2,2
8,arouse,2,2,2,2,1,2,2,1,2,2,2,2,1,2,1
9,arouse,3,1,3,2,4,3,4,4,2,2,1,4,2,4,3
10,arouse,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1
11,arouse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,arouse,3,3,3,3,2,2,2,1,1,4,2,3,2,3,1
13,arouse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,arouse,2,2,2,3,2,2,1,2,1,2,2,1,2,2,2
15,arouse,2,2,2,2,3,1,2,1,1,3,3,3,2,1,4
16,arouse,2,2,1,2,1,2,1,2,2,2,2,2,2,1,1
1,calm,1,4,4,4,3,3,2,1,3,2,4,3,2,3,3
2,calm,3,2,4,4,4,2,4,2,3,4,5,3,3,4,4
3,calm,3,4,4,2,2,3,2,2,2,3,4,4,4,4,2
4,calm,4,2,4,3,4,2,4,2,4,2,2,4,4,2,2
5,calm,1,1,4,4,3,1,5,1,5,1,1,4,4,1,4
7,calm,4,4,4,3,4,2,4,4,4,1,4,4,3,3,1
8,calm,3,2,4,4,4,3,4,4,2,4,4,4,4,5,5
9,calm,4,4,4,2,3,2,3,4,4,3,2,2,4,1,2
10,calm,3,2,4,3,3,1,1,4,1,3,3,4,1,4,1
11,calm,3,4,3,2,3,3,3,2,3,2,3,3,4,3,3
12,calm,3,4,4,4,5,2,4,2,5,3,3,5,3,4,4
13,calm,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1
14,calm,2,2,3,2,4,2,4,4,3,2,3,3,3,2,3
15,calm,2,3,2,2,3,4,5,5,4,2,2,2,3,3,1
16,calm,2,4,4,4,3,2,2,2,4,4,3,3,4,2,4
1,real,1,3,2,5,3,2,3,2,4,3,4,1,2,3,3
2,real,1,2,4,3,4,2,4,2,2,4,5,2,2,2,3
3,real,5,4,4,4,4,1,4,4,4,4,4,4,4,4,4
4,real,2,3,4,4,4,3,4,4,4,3,4,4,4,4,4
5,real,1,1,5,4,5,1,5,2,4,1,2,2,3,1,4
7,real,2,4,4,4,4,2,4,4,4,3,4,4,4,2,4
8,real,4,2,5,3,4,2,3,4,3,2,4,1,5,3,4
9,real,2,2,2,1,2,2,1,3,3,1,4,1,4,1,2
10,real,4,4,5,4,4,2,3,5,5,3,4,2,5,4,4
11,real,4,3,5,2,5,4,4,2,4,4,5,2,5,5,5
12,real,4,5,4,4,4,3,2,2,2,4,4,2,4,2,4
13,real,1,1,5,1,5,1,1,1,1,1,5,1,5,1,5
14,real,2,2,3,2,2,2,3,2,1,2,3,2,2,1,2
15,real,4,4,5,3,3,3,2,3,4,2,4,4,4,2,5
16,real,1,3,4,4,2,2,2,2,4,4,4,2,4,2,4
